#species	count
species:ncbi:5551	2656
species:ncbi:9825	2616
species:ncbi:7160	2603
species:ncbi:1766	2601
species:ncbi:2702	2596
species:ncbi:148305	2585
species:ncbi:10497	2583
species:ncbi:6287	2564
species:ncbi:59530	2554
species:ncbi:9694	2550
species:ncbi:11149	2546
species:ncbi:11246	2545
species:ncbi:6238	2544
species:ncbi:1768	2536
species:ncbi:1148	2533
species:ncbi:1085	2529
species:ncbi:622	2521
species:ncbi:1717	2521
species:ncbi:9581	2499
species:ncbi:205488	2497
species:ncbi:6248	2497
species:ncbi:6211	2495
species:ncbi:10244	2495
species:ncbi:5802	2493
species:ncbi:111938	2486
species:ncbi:6945	2475
species:ncbi:15957	2467
species:ncbi:7244	2451
species:ncbi:5076	2449
species:ncbi:6978	2446
species:ncbi:1307	2444
species:ncbi:9995	2436
species:ncbi:2336	2429
species:ncbi:12302	2429
species:ncbi:8407	2422
species:ncbi:2242	2404
species:ncbi:3555	2386
species:ncbi:770	2372
species:ncbi:7176	2368
species:ncbi:124943	2366
species:ncbi:28131	2361
species:ncbi:100235	2351
species:ncbi:6526	2334
species:ncbi:8233	2331
species:ncbi:85708	2323
species:ncbi:4952	2318
species:ncbi:523103	2317
species:ncbi:11084	2301
species:ncbi:2261	2294
species:ncbi:4100	2291
species:ncbi:1911	2262
species:ncbi:1809	2258
species:ncbi:548	2255
species:ncbi:7719	2250
species:ncbi:4006	2249
species:ncbi:119431	2249
species:ncbi:3827	2226
species:ncbi:143334	2226
species:ncbi:11161	2224
species:ncbi:33758	2219
species:ncbi:136217	2214
species:ncbi:6574	2212
species:ncbi:27835	2202
species:ncbi:9135	2200
species:ncbi:63221	2184
species:ncbi:6954	2179
species:ncbi:9505	2173
species:ncbi:12183	2172
species:ncbi:8895	2160
species:ncbi:158	2160
species:ncbi:730	2150
species:ncbi:3197	2150
species:ncbi:35269	2149
species:ncbi:447135	2148
species:ncbi:169066	2147
species:ncbi:57788	2138
species:ncbi:89462	2137
species:ncbi:546	2133
species:ncbi:8847	2119
species:ncbi:10372	2113
species:ncbi:11978	2109
species:ncbi:10044	2107
species:ncbi:7237	2102
species:ncbi:1305	2099
species:ncbi:6941	2098
species:ncbi:669	2098
species:ncbi:5270	2093
species:ncbi:1308	2086
species:ncbi:5656	2073
species:ncbi:1767	2069
species:ncbi:8168	2068
species:ncbi:585	2065
species:ncbi:9322	2055
species:ncbi:5875	2053
species:ncbi:8401	2053
species:ncbi:323764	2039
species:ncbi:51453	2028
species:ncbi:9545	2022
species:ncbi:339	2017
species:ncbi:7240	2012
species:ncbi:8078	2001
species:ncbi:5306	1999
species:ncbi:9395	1990
species:ncbi:266	1984
species:ncbi:5660	1971
species:ncbi:5865	1965
species:ncbi:196	1963
species:ncbi:7936	1962
species:ncbi:8049	1951
species:ncbi:471	1937
species:ncbi:37124	1931
species:ncbi:6523	1924
species:ncbi:12154	1918
species:ncbi:3369	1916
species:ncbi:3349	1914
species:ncbi:10641	1906
species:ncbi:6035	1904
species:ncbi:11036	1898
species:ncbi:7668	1893
species:ncbi:106590	1888
species:ncbi:2190	1886
species:ncbi:9258	1885
species:ncbi:3902	1883
species:ncbi:11876	1881
species:ncbi:7154	1860
species:ncbi:3649	1857
species:ncbi:7175	1854
species:ncbi:668	1852
species:ncbi:5501	1844
species:ncbi:5659	1843
species:ncbi:130404	1839
species:ncbi:59729	1830
species:ncbi:10381	1820
species:ncbi:2148	1811
species:ncbi:30076	1805
species:ncbi:2107	1798
species:ncbi:8801	1797
species:ncbi:9542	1795
species:ncbi:6973	1795
species:ncbi:1824	1790
species:ncbi:12211	1782
species:ncbi:571	1761
species:ncbi:8386	1760
species:ncbi:8063	1749
species:ncbi:1310	1749
species:ncbi:11047	1742
species:ncbi:9614	1740
species:ncbi:11128	1740
species:ncbi:12216	1736
species:ncbi:3329	1728
species:ncbi:265294	1723
species:ncbi:5755	1722
species:ncbi:5724	1721
species:ncbi:9755	1718
species:ncbi:29760	1716
species:ncbi:4522	1715
species:ncbi:8019	1709
species:ncbi:2099	1708
species:ncbi:4120	1705
species:ncbi:4606	1691
species:ncbi:6216	1691
species:ncbi:36087	1685
species:ncbi:52904	1683
species:ncbi:12420	1677
species:ncbi:42374	1672
species:ncbi:11048	1672
species:ncbi:383689	1672
species:ncbi:1774	1671
species:ncbi:920	1664
species:ncbi:442169	1661
species:ncbi:9315	1657
species:ncbi:8175	1652
species:ncbi:11741	1648
species:ncbi:12227	1643
species:ncbi:83554	1641
species:ncbi:1931	1641
species:ncbi:29058	1639
species:ncbi:1409	1636
species:ncbi:11819	1635
species:ncbi:30069	1634
species:ncbi:9852	1620
species:ncbi:29073	1615
species:ncbi:11250	1614
species:ncbi:5665	1613
species:ncbi:1642	1611
species:ncbi:74940	1610
species:ncbi:121225	1609
species:ncbi:11636	1606
species:ncbi:12892	1599
species:ncbi:11089	1598
species:ncbi:5699	1593
species:ncbi:782	1580
species:ncbi:10042	1580
