species:ncbi:53446	S. cinnamoneum|S.cinnamoneus|Streptoverticillium cinnamoneum subsp. cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966|v.cinnamomeus forma cinnamomeus|S.cinnamoneum|S.cinnamoneus (Benedict et al. 1952) Witt and Stackebrandt 1991|Verticillomyces cinnamomeus forma cinnamomeus|S. cinnamoneus|Streptoverticillium cinnamoneum subsp. cinnamoneum Baldacci and Locci 1974 (sic)s|streptomyces cinnamoneus subsp. cinnamoneus|Streptoverticillium cinnamomeus forma cinnamomeus|streptoverticillium cinnamoneum subsp. cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966s|s.cinnamoneum|s. cinnamoneus|Streptoverticillium cinnamoneum subsp. cinnamoneum Baldacci and Locci 1974 (sic)|V. cinnamomeus forma cinnamomeus|streptomyces cinnamoneus (Benedict et al. 1952) Witt and Stackebrandt 1991|Streptomyces cinnamomeus forma cinnamomeus|s.cinnamoneus|s. cinnamoneum|Streptoverticillium cinnamoneum subsp. cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966s|s. cinnamoneus (Benedict et al. 1952) Witt and Stackebrandt 1991|V.cinnamomeus forma cinnamomeus|Streptoverticillium cinnamoneum|S.cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966 (Approved Lists 1980)|s.cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966 (Approved Lists 1980)|Streptoverticillium cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966 (Approved Lists 1980)|Streptoverticillium cinnamoneum subsp. cinnamoneums|S. cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966 (Approved Lists 1980)|Streptomyces cinnamoneus|streptomyces cinnamoneus|s.cinnamoneus (Benedict et al. 1952) Witt and Stackebrandt 1991|S. cinnamomeus forma cinnamomeus|Streptoverticillium cinnamoneum subsp. cinnamoneum|streptoverticillium cinnamoneum subsp. cinnamoneum|S.cinnamomeus forma cinnamomeus|streptoverticillium cinnamoneum subsp. cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966|s. cinnamomeus forma cinnamomeus|v. cinnamomeus forma cinnamomeus|verticillomyces cinnamomeus forma cinnamomeus|streptomyces cinnamomeus forma cinnamomeus|Streptomyces cinnamoneus (Benedict et al. 1952) Witt and Stackebrandt 1991|streptoverticillium cinnamoneum subsp. cinnamoneum Baldacci and Locci 1974 (sic)|streptoverticillium cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966 (Approved Lists 1980)|s.cinnamomeus forma cinnamomeus|Streptomyces cinnamoneus subsp. cinnamoneus|streptoverticillium cinnamoneum subsp. cinnamoneums|s. cinnamoneum (Benedict et al. 1952) Baldacci et al. 1966 (Approved Lists 1980)|S. cinnamoneus (Benedict et al. 1952) Witt and Stackebrandt 1991|streptoverticillium cinnamoneum subsp. cinnamoneum Baldacci and Locci 1974 (sic)s|streptoverticillium cinnamomeus forma cinnamomeus|streptoverticillium cinnamoneum
species:ncbi:53462	m.mageritense Domenech et al. 1997|M.mageritense|m.mageritense|mycobacterium mageritense|M. mageritense Domenech et al. 1997|Mycobacterium mageritense|Mycobacterium mageritense Domenech et al. 1997|M.mageritense Domenech et al. 1997|m. mageritense Domenech et al. 1997|M. mageritense|mycobacterium mageritense Domenech et al. 1997|m. mageritense
species:ncbi:53468	M. corti|Mesocestoides corti|M. corti Hoeppli 1925|mesocestoides corti|mesocestoides corti Hoeppli 1925|m.corti|m. corti Hoeppli 1925|M.corti Hoeppli 1925|m. corti|Mesocestoides corti Hoeppli 1925|m.corti Hoeppli 1925|M.corti
species:ncbi:431266	L. australasiae|liocheles australasiae|Liocheles australasiae|L.australasiae|l.australasiae|l. australasiae
species:ncbi:386891	Moraxella bovoculi|Moraxella bovoculi Angelos et al. 2007|m. bovoculi|m.bovoculi|M. bovoculi|moraxella bovoculi Angelos et al. 2007|M.bovoculi|moraxella bovoculi
species:ncbi:53306	Minuca pugnax|M.pugnax|U.pugnax|M. pugnax|u.pugnax|u. pugnax|m.pugnax|m. pugnax|U. pugnax|minuca pugnax|Uca pugnax|uca pugnax
species:ncbi:53399	Hyphomicrobium denitrificans Urakami et al. 1995|H. denitrificans Urakami et al. 1995|H.denitrificans Urakami et al. 1995|hyphomicrobium denitrificans Urakami et al. 1995|hyphomicrobium denitrificans|h.denitrificans|H. denitrificans|h.denitrificans Urakami et al. 1995|h. denitrificans Urakami et al. 1995|H.denitrificans|Hyphomicrobium denitrificans|h. denitrificans
species:ncbi:53344	s. delphini|S. delphini Varaldo et al. 1988|s.delphini Varaldo et al. 1988|staphylococcus delphini|S.delphini Varaldo et al. 1988|s. delphini Varaldo et al. 1988|S. delphini|Staphylococcus delphini Varaldo et al. 1988|Staphylococcus delphini|s.delphini|staphylococcus delphini Varaldo et al. 1988|S.delphini
species:ncbi:53345	e.durans|S. durans|E.durans|Streptococcus durans|Streptococcus durans (ex Sherman and Wing 1937) Knight et al. 1984|s. durans|E. durans|s.durans|enterococcus durans|Enterococcus durans|Enterococcus durans (ex Sherman and Wing 1937) Collins et al. 1984|enterococcus durans (ex Sherman and Wing 1937) Collins et al. 1984|S.durans|streptococcus durans|e. durans|streptococcus durans (ex Sherman and Wing 1937) Knight et al. 1984
species:ncbi:53346	enterococcus mundtii Collins et al. 1986|E. mundtii Collins et al. 1986|E.mundtii Collins et al. 1986|enterococcus mundtii|Enterococcus mundtii|e.mundtii|E. mundtii|e. mundtii|e. mundtii Collins et al. 1986|E.mundtii|Enterococcus mundtii Collins et al. 1986|e.mundtii Collins et al. 1986
